window,phi
0.00 0.05 0.07 0.07 0.08 0.06 0.05 0.07 0.06 0.05 0.07 0.07 0.07 0.06 0.17 0.16 0.19 0.14 0.17 0.17 0.15 0.15 0.12 0.15 0.17,0.5602774141199027
0.05 0.07 0.07 0.08 0.06 0.05 0.07 0.06 0.05 0.07 0.07 0.07 0.06 0.17 0.16 0.19 0.14 0.17 0.17 0.15 0.15 0.12 0.15 0.17 0.22,0.8775721871974496
0.06 0.04 0.06 0.09 0.19 0.30 0.37 0.42 0.43 0.39 0.35 0.33 0.31 0.30 0.29 0.28 0.28 0.27 0.29 0.26 0.22 0.17 0.12 0.02 0.01,0.7918651977117196
0.04 0.06 0.09 0.19 0.30 0.37 0.42 0.43 0.39 0.35 0.33 0.31 0.30 0.29 0.28 0.28 0.27 0.29 0.26 0.22 0.17 0.12 0.02 0.01 0.00,0.7943467859036837
0.04 0.05 0.09 0.17 0.28 0.35 0.39 0.40 0.37 0.36 0.35 0.34 0.33 0.31 0.29 0.28 0.29 0.30 0.27 0.22 0.16 0.12 0.06 0.03 0.02,0.7736290494523573
0.05 0.09 0.17 0.28 0.35 0.39 0.40 0.37 0.36 0.35 0.34 0.33 0.31 0.29 0.28 0.29 0.30 0.27 0.22 0.16 0.12 0.06 0.03 0.02 0.02,0.7640468167086618
0.03 0.02 0.02 0.05 0.10 0.17 0.24 0.27 0.28 0.28 0.28 0.28 0.27 0.26 0.25 0.24 0.27 0.28 0.28 0.26 0.20 0.16 0.11 0.05 0.04,0.6678830423003523
0.02 0.02 0.05 0.10 0.17 0.24 0.27 0.28 0.28 0.28 0.28 0.27 0.26 0.25 0.24 0.27 0.28 0.28 0.26 0.20 0.16 0.11 0.05 0.04 0.02,0.752437962105194
0.02 0.06 0.13 0.22 0.27 0.30 0.32 0.31 0.32 0.28 0.29 0.29 0.29 0.29 0.27 0.27 0.25 0.25 0.24 0.19 0.12 0.08 0.04 0.02 0.01,0.8145991776376322
0.06 0.13 0.22 0.27 0.30 0.32 0.31 0.32 0.28 0.29 0.29 0.29 0.29 0.27 0.27 0.25 0.25 0.24 0.19 0.12 0.08 0.04 0.02 0.01 0.01,0.8091121152961634
0.05 0.04 0.06 0.13 0.21 0.28 0.31 0.32 0.32 0.31 0.32 0.30 0.30 0.31 0.30 0.30 0.31 0.33 0.32 0.28 0.22 0.15 0.11 0.06 0.04,0.7836979181346637
0.04 0.06 0.13 0.21 0.28 0.31 0.32 0.32 0.31 0.32 0.30 0.30 0.31 0.30 0.30 0.31 0.33 0.32 0.28 0.22 0.15 0.11 0.06 0.04 0.02,0.8317704307158984
0.38 0.35 0.35 0.35 0.37 0.39 0.38 0.38 0.28 0.20 0.14 0.07 0.05 0.04 0.06 0.11 0.18 0.24 0.29 0.30 0.30 0.30 0.30 0.30 0.61,0.962760402124243
0.35 0.35 0.35 0.37 0.39 0.38 0.38 0.28 0.20 0.14 0.07 0.05 0.04 0.06 0.11 0.18 0.24 0.29 0.30 0.30 0.30 0.30 0.30 0.61 0.81,0.9917504381027741
0.47 0.47 0.45 0.35 0.23 0.16 0.07 0.06 0.06 0.08 0.15 0.25 0.35 0.41 0.45 0.46 0.46 0.44 0.42 0.43 0.43 0.43 0.67 1.00 0.89,0.9111657304719075
0.47 0.45 0.35 0.23 0.16 0.07 0.06 0.06 0.08 0.15 0.25 0.35 0.41 0.45 0.46 0.46 0.44 0.42 0.43 0.43 0.43 0.67 1.00 0.89 0.84,0.798586145013077
0.35 0.35 0.37 0.39 0.38 0.38 0.28 0.20 0.14 0.07 0.05 0.04 0.06 0.11 0.18 0.24 0.29 0.30 0.30 0.30 0.30 0.30 0.61 0.81 0.88,0.9796602290289049
0.45 0.47 0.47 0.45 0.35 0.23 0.16 0.07 0.06 0.06 0.08 0.15 0.25 0.35 0.41 0.45 0.46 0.46 0.44 0.42 0.43 0.43 0.43 0.67 1.00,0.9911719527814682
0.45 0.45 0.47 0.47 0.45 0.35 0.23 0.16 0.07 0.06 0.06 0.08 0.15 0.25 0.35 0.41 0.45 0.46 0.46 0.44 0.42 0.43 0.43 0.43 0.67,0.8668511223587043
0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.02 0.01 0.01 0.01 0.02 0.02 0.02 0.02 0.02 0.01 0.01 0.01 0.00 0.00 0.00,0.6476770240447529
0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.02 0.01 0.01 0.01 0.02 0.02 0.02 0.02 0.02 0.01 0.01 0.01 0.00 0.00 0.00 0.00,0.6476770240447529
0.01 0.01 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.02 0.02 0.01 0.01 0.01 0.02 0.02 0.02 0.01 0.01 0.01 0.01 0.00 0.00 0.00,0.834204913747724
